ibge7,ibge6,mun_nome,ano,populacao,fonte_populacao,observacao_populacao
3301504,330150,Cordeiro,2020,22041,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301504,330150,Cordeiro,2021,22152,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301504,330150,Cordeiro,2022,20783,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3301504,330150,Cordeiro,2024,21444,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301504,330150,Cordeiro,2025,21448,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301603,330160,Duas Barras,2017,11169,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301603,330160,Duas Barras,2018,11454,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301603,330160,Duas Barras,2019,11492,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301603,330160,Duas Barras,2020,11528,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301603,330160,Duas Barras,2021,11563,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301603,330160,Duas Barras,2022,10980,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3301603,330160,Duas Barras,2024,11354,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301603,330160,Duas Barras,2025,11355,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301702,330170,Duque de Caxias,2017,890997,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301702,330170,Duque de Caxias,2018,914383,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301702,330170,Duque de Caxias,2019,919596,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301702,330170,Duque de Caxias,2020,924624,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301702,330170,Duque de Caxias,2021,929449,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301702,330170,Duque de Caxias,2022,808161,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3301702,330170,Duque de Caxias,2024,866347,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301702,330170,Duque de Caxias,2025,866225,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301801,330180,Engenheiro Paulo de Frontin,2017,13576,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301801,330180,Engenheiro Paulo de Frontin,2018,13929,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301801,330180,Engenheiro Paulo de Frontin,2019,14002,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301801,330180,Engenheiro Paulo de Frontin,2020,14071,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301801,330180,Engenheiro Paulo de Frontin,2021,14138,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301801,330180,Engenheiro Paulo de Frontin,2022,12242,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3301801,330180,Engenheiro Paulo de Frontin,2024,12648,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301801,330180,Engenheiro Paulo de Frontin,2025,12644,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301850,330185,Guapimirim,2017,57921,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301850,330185,Guapimirim,2018,59613,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301850,330185,Guapimirim,2019,60517,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301850,330185,Guapimirim,2020,61388,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301850,330185,Guapimirim,2021,62225,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301850,330185,Guapimirim,2022,51696,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3301850,330185,Guapimirim,2024,54300,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301850,330185,Guapimirim,2025,54311,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301876,330187,Iguaba Grande,2017,26936,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301876,330187,Iguaba Grande,2018,27762,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301876,330187,Iguaba Grande,2019,28310,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301876,330187,Iguaba Grande,2020,28837,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301876,330187,Iguaba Grande,2021,29344,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301876,330187,Iguaba Grande,2022,27920,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3301876,330187,Iguaba Grande,2024,29577,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301876,330187,Iguaba Grande,2025,29616,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301900,330190,Itaboraí,2017,232394,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301900,330190,Itaboraí,2018,238695,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301900,330190,Itaboraí,2019,240592,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301900,330190,Itaboraí,2020,242543,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301900,330190,Itaboraí,2021,244416,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301900,330190,Itaboraí,2022,224267,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
