desfecho,macro_regiao,sexo_padronizado,faixa_etaria,cid_grupo,eventos
obitos,Baia da Ilha Grande,Feminino,0-49,I60-I62 hemorragicas,37
obitos,Baia da Ilha Grande,Masculino,80+,I60-I62 hemorragicas,35
obitos,Baia da Ilha Grande,Masculino,0-49,I65-I69 outras/sequelas,21
obitos,Baia da Ilha Grande,Feminino,0-49,I65-I69 outras/sequelas,17
obitos,Baia da Ilha Grande,Masculino,0-49,I64 AVC nao especificado,15
obitos,Baia da Ilha Grande,Feminino,0-49,I64 AVC nao especificado,9
obitos,Baia da Ilha Grande,Feminino,80+,I63 isquemico,3
obitos,Baia da Ilha Grande,Feminino,65-79,I63 isquemico,2
obitos,Baia da Ilha Grande,Masculino,50-64,I63 isquemico,1
obitos,Baia da Ilha Grande,Masculino,65-79,I63 isquemico,1
obitos,Baia da Ilha Grande,Masculino,,I64 AVC nao especificado,1
obitos,Baixada Litoranea,Masculino,65-79,I65-I69 outras/sequelas,504
obitos,Baixada Litoranea,Masculino,65-79,I64 AVC nao especificado,503
obitos,Baixada Litoranea,Feminino,80+,I64 AVC nao especificado,415
obitos,Baixada Litoranea,Feminino,80+,I65-I69 outras/sequelas,414
obitos,Baixada Litoranea,Feminino,65-79,I65-I69 outras/sequelas,399
obitos,Baixada Litoranea,Feminino,65-79,I64 AVC nao especificado,364
obitos,Baixada Litoranea,Masculino,80+,I65-I69 outras/sequelas,304
obitos,Baixada Litoranea,Masculino,80+,I64 AVC nao especificado,268
obitos,Baixada Litoranea,Masculino,50-64,I60-I62 hemorragicas,264
obitos,Baixada Litoranea,Masculino,65-79,I60-I62 hemorragicas,255
obitos,Baixada Litoranea,Masculino,50-64,I65-I69 outras/sequelas,228
obitos,Baixada Litoranea,Feminino,50-64,I60-I62 hemorragicas,221
obitos,Baixada Litoranea,Masculino,50-64,I64 AVC nao especificado,207
obitos,Baixada Litoranea,Feminino,65-79,I60-I62 hemorragicas,190
obitos,Baixada Litoranea,Masculino,0-49,I60-I62 hemorragicas,159
obitos,Baixada Litoranea,Feminino,50-64,I65-I69 outras/sequelas,154
obitos,Baixada Litoranea,Feminino,80+,I60-I62 hemorragicas,144
obitos,Baixada Litoranea,Feminino,50-64,I64 AVC nao especificado,130
obitos,Baixada Litoranea,Feminino,0-49,I60-I62 hemorragicas,121
obitos,Baixada Litoranea,Masculino,80+,I60-I62 hemorragicas,112
obitos,Baixada Litoranea,Masculino,0-49,I64 AVC nao especificado,56
obitos,Baixada Litoranea,Feminino,0-49,I65-I69 outras/sequelas,51
obitos,Baixada Litoranea,Feminino,0-49,I64 AVC nao especificado,43
obitos,Baixada Litoranea,Masculino,0-49,I65-I69 outras/sequelas,38
obitos,Baixada Litoranea,Feminino,,I65-I69 outras/sequelas,10
