Municipio;Macroregiao;Ano;Mes;PM25;Fonte;Metodo
Paraty;Baía da Ilha Grande;2025;5;12.8542;Monitorado;Extrapolado (regressão linear) + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2025;6;14.4083;Monitorado;Extrapolado (regressão linear) + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2025;7;15.6097;Monitorado;Extrapolado (regressão linear) + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2025;8;29.1684;Monitorado;Extrapolado (regressão linear) + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2025;9;48.4409;Monitorado;Extrapolado (regressão linear) + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2025;10;24.0752;Monitorado;Extrapolado (regressão linear) + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2025;11;15.259;Monitorado;Extrapolado (regressão linear) + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2025;12;13.913;Monitorado;Extrapolado (regressão linear) + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2010;1;15.4518;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2010;2;16.4496;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2010;3;17.0532;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2010;4;16.858;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2010;5;16.5703;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2010;6;18.5738;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2010;7;20.1225;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2010;8;37.6011;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2010;9;62.4452;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2010;10;31.0354;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2010;11;19.6704;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2010;12;17.9353;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2011;1;12.0306;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2011;2;12.8074;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2011;3;13.2773;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2011;4;13.1254;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2011;5;12.9014;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2011;6;14.4613;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2011;7;15.6671;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2011;8;29.2756;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2011;9;48.6189;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2011;10;24.1637;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2011;11;15.3151;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2011;12;13.9641;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2012;1;12.4611;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2012;2;13.2657;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2012;3;13.7524;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2012;4;13.5951;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2012;5;13.3631;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2012;6;14.9788;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2012;7;16.2277;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2012;8;30.3232;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2012;9;50.3587;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2012;10;25.0284;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2012;11;15.8631;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2012;12;14.4638;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2013;1;11.06;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2013;2;11.7742;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2013;3;12.2062;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2013;4;12.0665;Monitorado;Observado + sazonal (perfil nacional 2024)
